Building,sampling_region,building_type,size_bin,heating_fuel,hvac_system_type
0,19,strip_mall,0,NaturalGas,PSZ-AC with gas coil
1,19,retail,0,NaturalGas,PSZ-AC with gas coil
2,19,warehouse,0,NaturalGas,PSZ-AC with gas coil
3,19,small_office,0,NaturalGas,PSZ-AC with gas coil
4,19,small_office,0,NaturalGas,Residential AC with residential forced air furnace
5,13,strip_mall,0,NaturalGas,PSZ-AC with gas coil
6,48,strip_mall,0,NaturalGas,PSZ-AC with gas coil
7,5,strip_mall,0,Electricity,PSZ-AC with electric coil
8,19,full_service_restaurant,0,NaturalGas,PSZ-AC with gas coil
9,5,small_office,0,Electricity,PTHP
10,22,strip_mall,0,NaturalGas,PSZ-AC with gas coil
11,5,small_office,0,Electricity,PSZ-AC with electric coil
12,22,warehouse,0,Electricity,PSZ-AC with electric coil
13,105,strip_mall,0,NaturalGas,PSZ-AC with gas coil
14,18,strip_mall,0,NaturalGas,PSZ-AC with gas coil
15,5,warehouse,0,Electricity,PSZ-AC with electric coil
16,9,strip_mall,0,NaturalGas,PSZ-AC with gas coil
17,22,warehouse,0,NaturalGas,PSZ-AC with gas coil
18,10,strip_mall,0,NaturalGas,PSZ-AC with gas coil
19,19,warehouse,0,NaturalGas,Residential AC with residential forced air furnace
20,22,small_office,0,Electricity,PSZ-AC with electric coil
21,0,strip_mall,0,Electricity,PSZ-AC with electric coil
22,29,strip_mall,0,NaturalGas,PSZ-AC with gas coil
23,19,strip_mall,0,NaturalGas,Residential AC with residential forced air furnace
24,9,warehouse,0,NaturalGas,PSZ-AC with gas coil
25,30,strip_mall,0,NaturalGas,PSZ-AC with gas coil
26,48,warehouse,0,NaturalGas,PSZ-AC with gas coil
27,5,small_office,0,Electricity,PSZ-HP
28,0,small_office,0,NaturalGas,PSZ-AC with gas coil
29,39,strip_mall,0,NaturalGas,PSZ-AC with gas coil
30,22,strip_mall,0,Electricity,PSZ-AC with electric coil
31,22,retail,0,Electricity,PSZ-AC with electric coil
32,5,retail,0,Electricity,PSZ-AC with electric coil
33,29,warehouse,0,NaturalGas,PSZ-AC with gas coil
34,18,warehouse,0,NaturalGas,PSZ-AC with gas coil
35,5,warehouse,0,Electricity,PSZ-HP
36,102,strip_mall,0,NaturalGas,PSZ-AC with gas coil
37,13,warehouse,0,NaturalGas,PSZ-AC with gas coil
38,5,strip_mall,0,Electricity,PSZ-HP
39,8,warehouse,0,NaturalGas,PSZ-AC with gas coil
40,9,strip_mall,0,Electricity,PSZ-AC with electric coil
41,33,strip_mall,0,NaturalGas,PSZ-AC with gas coil
42,17,strip_mall,0,NaturalGas,PSZ-AC with gas coil
43,0,strip_mall,0,NaturalGas,PSZ-AC with gas coil
44,0,warehouse,0,NaturalGas,PSZ-AC with gas coil
45,9,small_office,0,Electricity,PTHP
46,107,strip_mall,0,NaturalGas,PSZ-AC with gas coil
47,8,strip_mall,0,NaturalGas,PSZ-AC with gas coil
48,38,strip_mall,0,Electricity,PSZ-AC with electric coil
49,36,strip_mall,0,NaturalGas,PSZ-AC with gas coil
50,30,warehouse,0,NaturalGas,PSZ-AC with gas coil
51,39,small_office,0,Electricity,PSZ-AC with electric coil
